X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8571874.3433,4695327.7386,647,Prince George's,16.120,Forest Heights Elementary,200 TALBERT DRIVE,OXON HILL,MD,20745,PreK-6,Elementary
-8555417.4011,4707419.3983,648,Prince George's,16.122,Pullen (Thomas G.) Creative and Performing Arts Academy,700 BRIGHTSEAT ROAD,LANDOVER,MD,20785,K-8,Elementary/Middle
-8567725.1334,4695436.9972,649,Prince George's,16.123,Barnaby Manor Elementary,2411 OWENS ROAD,OXON HILL,MD,20745,PreK-5,Elementary
-8556285.8398,4732019.1142,650,Prince George's,16.113,Harrison (James H.) Elementary,13200 LARCHDALE ROAD,LAUREL,MD,20708,PreK-6,Elementary
-8553850.6962,4691466.541,651,Prince George's,16.114,Madison (James) Middle,7300 WOODYARD ROAD,UPPER MARLBORO,MD,20772,6-8,Middle
-8562534.2686,4727215.4452,652,Prince George's,16.115,Beltsville Academy,4300 WICOMICO AVENUE,BELTSVILLE,MD,20705,PreK-8,PreK-8
-8559356.3355,4714787.7001,653,Prince George's,16.116,Glenridge Elementary,7200 GALLATIN STREET,LANDOVER HILLS,MD,20784,PreK-6,Elementary
-8557754.4972,4712174.3152,654,Prince George's,16.117,Dodge Park Elementary,3401 HUBBARD ROAD,LANDOVER,MD,20785,PreK-6,Elementary
-8558909.1703,4698316.4662,655,Prince George's,16.104,Forestville High,7001 BELTZ DRIVE,FORESTVILLE,MD,20747,9-12,High
-8564018.2547,4712895.0714,656,Prince George's,16.106,Bladensburg Elementary,4915 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,PreK-6,Elementary
-8558404.8693,4716986.3369,657,Prince George's,16.110,Carroll (Charles) Middle,6130 LAMONT DRIVE,NEW CARROLLTON,MD,20784,6-8,Middle
-8565318.6903,4726730.3192,658,Prince George's,16.101,Fuchs (Frances R.) Early Childhood Center,11011 CHERRY HILL ROAD,BELTSVILLE,MD,20705,Pre-K,Special Ed.
-8544723.9529,4710137.2204,659,Prince George's,16.102,Tall Oaks High,2112 CHURCH ROAD,BOWIE,MD,20721,11-12,High
-8543013.5104,4718553.2147,660,Prince George's,16.089,Bowie High,15200 ANNAPOLIS ROAD,BOWIE,MD,20715,9-12,High
-8567234.3339,4723263.5403,661,Prince George's,16.094,Buck Lodge Middle,2611 BUCK LODGE ROAD,ADELPHI,MD,20783,6-8,Middle
-8547269.9418,4690356.6505,662,Prince George's,16.083,Douglass (Frederick) High,8000 CROOM ROAD,UPPER MARLBORO,MD,20772,9-12,High
-8562015.6081,4690602.8312,663,Prince George's,16.084,Randall (James Ryder) Early Childhood Center,5410 KIRBY ROAD,CLINTON,MD,20735,PreK-5,Elementary
-8572083.2114,4681380.1146,664,Prince George's,16.086,Potomac Landing Elementary,12500 FORT WASHINGTON ROAD,FORT WASHINGTON,MD,20744,PreK-6,Elementary
-8562443.2773,4700713.2601,665,Prince George's,16.087,Suitland High,5200 SILVER HILL ROAD,FORESTVILLE,MD,20747,9-12,High
-8555232.3998,4678361.106,666,Prince George's,16.088,Brandywine Elementary,14101 BRANDYWINE ROAD,BRANDYWINE,MD,20613,PreK-5,Elementary
-8560188.4864,4701478.2309,667,Prince George's,16.076,District Heights Elementary,2200 COUNTY ROAD,DISTRICT HEIGHTS,MD,20747,PreK-5,Elementary
-8565211.2899,4715148.319,668,Prince George's,16.080,Hyattsville Elementary,5311 43RD AVENUE,HYATTSVILLE,MD,20781,PreK-5,Elementary
-8565277.0254,4717427.9089,669,Prince George's,16.081,University Park Elementary,4315 UNDERWOOD STREET,HYATTSVILLE,MD,20782,PreK-6,Elementary
-8570908.6843,4692591.3837,670,Prince George's,16.082,Oxon Hill High,6701 LEYTE DRIVE,OXON HILL,MD,20745,9-12,High
-8563009.7063,4723833.2608,671,Prince George's,16.068,Hollywood Elementary,9811 49TH AVENUE,COLLEGE PARK,MD,20740,PreK-5,Elementary
-8566587.2151,4718102.2528,672,Prince George's,16.072,Northwestern High,7000 ADELPHI ROAD,HYATTSVILLE,MD,20782,9-12,High
-8554129.7199,4701186.9219,673,Prince George's,16.074,Arrowhead Elementary,2300 SANSBURY ROAD,UPPER MARLBORO,MD,20774,PreK-5,Elementary
-8560783.4205,4722542.5186,674,Prince George's,16.075,Springhill Lake Elementary,6060 SPRINGHILL DRIVE,GREENBELT,MD,20770,K-5,Elementary
-8559555.826,4714580.715,675,Prince George's,16.052,Woodridge Elementary,5001 FLINTRIDGE DRIVE,HYATTSVILLE,MD,20784,PreK-6,Elementary
-8562905.1046,4687509.8578,676,Prince George's,16.053,Clinton Grove Elementary,9420 TEMPLE HILL ROAD,CLINTON,MD,20735,PreK-5,Elementary
-8573340.4387,4687094.2948,677,Prince George's,16.055,Indian Queen Elementary,9551 FORT FOOTE ROAD,FORT WASHINGTON,MD,20744,PreK-6,Elementary
-8561834.706,4704766.5092,678,Prince George's,16.056,Capitol Heights Elementary,601 SUFFOLK AVENUE,CAPITOL HEIGHTS,MD,20743,PreK-5,Elementary
-8567466.6674,4691515.1758,679,Prince George's,16.057,Apple Grove Elementary,7400 BELLEFIELD AVENUE,FORT WASHINGTON,MD,20744,PreK-6,Elementary
-8550582.9511,4706588.797,680,Prince George's,16.043,Kettering Middle,65 HERRINGTON DRIVE,UPPER MARLBORO,MD,20774,6-8,Middle
-8568096.241,4686223.9176,681,Prince George's,16.046,Friendly High,10000 ALLENTOWN ROAD,FORT WASHINGTON,MD,20744,9-12,High
-8571099.8591,4694079.1357,682,Prince George's,16.048,Flintstone Elementary,800 COMANCHE DRIVE,OXON HILL,MD,20745,PreK-5,Elementary
-8553766.823,4705844.1555,683,Prince George's,16.050,Williams (Phyllis E.) Elementary,9601 PRINCE PLACE,UPPER MARLBORO,MD,20774,K-5,Elementary
-8563778.7784,4692264.5215,684,Prince George's,16.033,Crossland High,6901 TEMPLE HILL ROAD,TEMPLE HILLS,MD,20748,9-12,High
-8553706.7857,4720293.9073,685,Prince George's,16.034,Owens (Howard B.) Science Center,9601 GREENBELT ROAD,LANHAM,MD,20706,,Science
