  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2022 321    5.58    8.30    9.27   10.28   10.61    9.51
2022 322    5.49    7.95    8.89    9.44   10.15    8.41
2022 323    5.43    7.73    8.42    8.81    9.58    7.21
2022 324    5.43    7.59    8.11    8.33    8.81    5.68
2022 325    5.42    7.47    7.80    8.06    8.19    4.79
2022 326    5.40    7.39    7.64    7.97    7.89    4.57
2022 327    5.40    7.37    7.57    7.95    7.68    4.78
2022 328    5.41    7.43    7.55    7.95    7.59    5.12
2022 329    5.45    7.48    7.57    7.97    7.64    5.54
2022 330    5.48    7.56    7.65    8.06    7.77    5.82
2022 331    5.46    7.53    7.67    8.12    7.78    5.94
2022 332    5.45    7.37    7.58    8.01    7.64    5.83
2022 333    5.42    7.22    7.49    7.83    7.45    5.68
2022 334    5.39    7.03    7.35    7.58    7.29    5.57
2022 335    5.31    6.83    7.15    7.27    7.10    5.46
2022 336    5.20    6.63    6.92    7.05    6.90    5.33
2022 337    5.05    6.42    6.68    6.88    6.73    5.16
2022 338    4.87    6.32    6.48    6.76    6.58    4.95
2022 339    4.74    6.30    6.43    6.72    6.53    4.80
2022 340    4.57    6.26    6.42    6.71    6.54    4.81
2022 341    4.36    6.07    6.27    6.64    6.50    4.56
2022 342    4.27    5.94    6.18    6.60    6.49    4.57
2022 343    4.26    5.87    6.13    6.54    6.43    4.60
2022 344    4.26    5.92    6.08    6.47    6.37    4.61
2022 345    4.27    5.93    5.99    6.39    6.31    4.54
2022 346    4.27    5.94    5.86    6.24    6.22    4.47
2022 347    4.28    5.95    5.83    6.12    6.19    4.40
2022 348    4.27    5.88    5.75    6.05    6.13    4.22
2022 349    4.23    5.61    5.56    5.91    6.10    3.74
2022 350    4.18    5.58    5.51    5.85    6.05    3.50
2022 351    4.13    5.50    5.44    5.75    5.96    3.37
2022 352    4.11    5.44    5.32    5.60    5.90    3.27
2022 353    4.06    4.95    5.26    4.96    5.79    3.17
2022 354    4.00    4.78    5.14    4.46    5.65    2.97
2022 355    3.96    4.74    5.12    4.36    5.57    2.89
2022 356    3.85    4.65    5.05    4.26    5.54    2.86
2022 357    3.74    4.54    4.97    4.07    5.51    2.80
2022 358    3.63    4.33    4.58    3.49    5.26    0.20
2022 359    3.54    4.13    4.36    2.59    4.91    0.20
2022 360    3.50    4.00    4.31    2.31    4.85    0.20
2022 361    3.49    4.08    4.23    2.20    4.76    0.20
2022 362    3.33    4.12    4.10    2.13    4.75    0.20
2022 363    3.24    4.20    4.05    2.43    4.69    0.20
2022 364    3.28    4.21    3.98    2.46    4.65    0.20
2022 365    3.26    4.10    3.83    2.41    4.67    0.20
